fileID,instrumentSetting,playStyle,midi,string,fret,fxGroup,fxType,fxSetting,fileTag
G61-40100-3311-28081,6,1,40,1,00,3,31,1,28081
G61-41101-3311-28082,6,1,41,1,01,3,31,1,28082
G61-42102-3311-28083,6,1,42,1,02,3,31,1,28083
G61-43103-3311-28084,6,1,43,1,03,3,31,1,28084
G61-44104-3311-28085,6,1,44,1,04,3,31,1,28085
G61-45105-3311-28086,6,1,45,1,05,3,31,1,28086
G61-46106-3311-28087,6,1,46,1,06,3,31,1,28087
G61-47107-3311-28088,6,1,47,1,07,3,31,1,28088
G61-48108-3311-28089,6,1,48,1,08,3,31,1,28089
G61-49109-3311-28090,6,1,49,1,09,3,31,1,28090
G61-50110-3311-28091,6,1,50,1,10,3,31,1,28091
G61-51111-3311-28092,6,1,51,1,11,3,31,1,28092
G61-52112-3311-28093,6,1,52,1,12,3,31,1,28093
G61-45200-3311-28094,6,1,45,2,00,3,31,1,28094
G61-46201-3311-28095,6,1,46,2,01,3,31,1,28095
G61-47202-3311-28096,6,1,47,2,02,3,31,1,28096
G61-48203-3311-28097,6,1,48,2,03,3,31,1,28097
G61-49204-3311-28098,6,1,49,2,04,3,31,1,28098
G61-50205-3311-28099,6,1,50,2,05,3,31,1,28099
G61-51206-3311-28100,6,1,51,2,06,3,31,1,28100
G61-52207-3311-28101,6,1,52,2,07,3,31,1,28101
G61-53208-3311-28102,6,1,53,2,08,3,31,1,28102
G61-54209-3311-28103,6,1,54,2,09,3,31,1,28103
G61-55210-3311-28104,6,1,55,2,10,3,31,1,28104
G61-56211-3311-28105,6,1,56,2,11,3,31,1,28105
G61-57212-3311-28106,6,1,57,2,12,3,31,1,28106
G61-50300-3311-28107,6,1,50,3,00,3,31,1,28107
G61-51301-3311-28108,6,1,51,3,01,3,31,1,28108
G61-52302-3311-28109,6,1,52,3,02,3,31,1,28109
G61-53303-3311-28110,6,1,53,3,03,3,31,1,28110
G61-54304-3311-28111,6,1,54,3,04,3,31,1,28111
G61-55305-3311-28112,6,1,55,3,05,3,31,1,28112
G61-56306-3311-28113,6,1,56,3,06,3,31,1,28113
G61-57307-3311-28114,6,1,57,3,07,3,31,1,28114
G61-58308-3311-28115,6,1,58,3,08,3,31,1,28115
G61-59309-3311-28116,6,1,59,3,09,3,31,1,28116
G61-60310-3311-28117,6,1,60,3,10,3,31,1,28117
G61-61311-3311-28118,6,1,61,3,11,3,31,1,28118
G61-62312-3311-28119,6,1,62,3,12,3,31,1,28119
G61-55400-3311-28120,6,1,55,4,00,3,31,1,28120
G61-56401-3311-28121,6,1,56,4,01,3,31,1,28121
G61-57402-3311-28122,6,1,57,4,02,3,31,1,28122
G61-58403-3311-28123,6,1,58,4,03,3,31,1,28123
G61-59404-3311-28124,6,1,59,4,04,3,31,1,28124
G61-60405-3311-28125,6,1,60,4,05,3,31,1,28125
G61-61406-3311-28126,6,1,61,4,06,3,31,1,28126
G61-62407-3311-28127,6,1,62,4,07,3,31,1,28127
G61-63408-3311-28128,6,1,63,4,08,3,31,1,28128
G61-64409-3311-28129,6,1,64,4,09,3,31,1,28129
G61-65410-3311-28130,6,1,65,4,10,3,31,1,28130
G61-66411-3311-28131,6,1,66,4,11,3,31,1,28131
G61-67412-3311-28132,6,1,67,4,12,3,31,1,28132
G61-59500-3311-28133,6,1,59,5,00,3,31,1,28133
G61-60501-3311-28134,6,1,60,5,01,3,31,1,28134
G61-61502-3311-28135,6,1,61,5,02,3,31,1,28135
G61-62503-3311-28136,6,1,62,5,03,3,31,1,28136
G61-63504-3311-28137,6,1,63,5,04,3,31,1,28137
G61-64505-3311-28138,6,1,64,5,05,3,31,1,28138
G61-65506-3311-28139,6,1,65,5,06,3,31,1,28139
G61-66507-3311-28140,6,1,66,5,07,3,31,1,28140
G61-67508-3311-28141,6,1,67,5,08,3,31,1,28141
G61-68509-3311-28142,6,1,68,5,09,3,31,1,28142
G61-69510-3311-28143,6,1,69,5,10,3,31,1,28143
G61-70511-3311-28144,6,1,70,5,11,3,31,1,28144
G61-71512-3311-28145,6,1,71,5,12,3,31,1,28145
G61-64600-3311-28146,6,1,64,6,00,3,31,1,28146
G61-65601-3311-28147,6,1,65,6,01,3,31,1,28147
G61-66602-3311-28148,6,1,66,6,02,3,31,1,28148
G61-67603-3311-28149,6,1,67,6,03,3,31,1,28149
G61-68604-3311-28150,6,1,68,6,04,3,31,1,28150
G61-69605-3311-28151,6,1,69,6,05,3,31,1,28151
G61-70606-3311-28152,6,1,70,6,06,3,31,1,28152
G61-71607-3311-28153,6,1,71,6,07,3,31,1,28153
G61-72608-3311-28154,6,1,72,6,08,3,31,1,28154
G61-73609-3311-28155,6,1,73,6,09,3,31,1,28155
G61-74610-3311-28156,6,1,74,6,10,3,31,1,28156
G61-75611-3311-28157,6,1,75,6,11,3,31,1,28157
G61-76612-3311-28158,6,1,76,6,12,3,31,1,28158
G61-40100-3312-28705,6,1,40,1,00,3,31,2,28705
G61-41101-3312-28706,6,1,41,1,01,3,31,2,28706
G61-42102-3312-28707,6,1,42,1,02,3,31,2,28707
G61-43103-3312-28708,6,1,43,1,03,3,31,2,28708
G61-44104-3312-28709,6,1,44,1,04,3,31,2,28709
G61-45105-3312-28710,6,1,45,1,05,3,31,2,28710
G61-46106-3312-28711,6,1,46,1,06,3,31,2,28711
G61-47107-3312-28712,6,1,47,1,07,3,31,2,28712
G61-48108-3312-28713,6,1,48,1,08,3,31,2,28713
G61-49109-3312-28714,6,1,49,1,09,3,31,2,28714
G61-50110-3312-28715,6,1,50,1,10,3,31,2,28715
G61-51111-3312-28716,6,1,51,1,11,3,31,2,28716
G61-52112-3312-28717,6,1,52,1,12,3,31,2,28717
G61-45200-3312-28718,6,1,45,2,00,3,31,2,28718
G61-46201-3312-28719,6,1,46,2,01,3,31,2,28719
G61-47202-3312-28720,6,1,47,2,02,3,31,2,28720
G61-48203-3312-28721,6,1,48,2,03,3,31,2,28721
G61-49204-3312-28722,6,1,49,2,04,3,31,2,28722
G61-50205-3312-28723,6,1,50,2,05,3,31,2,28723
G61-51206-3312-28724,6,1,51,2,06,3,31,2,28724
G61-52207-3312-28725,6,1,52,2,07,3,31,2,28725
G61-53208-3312-28726,6,1,53,2,08,3,31,2,28726
G61-54209-3312-28727,6,1,54,2,09,3,31,2,28727
G61-55210-3312-28728,6,1,55,2,10,3,31,2,28728
G61-56211-3312-28729,6,1,56,2,11,3,31,2,28729
G61-57212-3312-28730,6,1,57,2,12,3,31,2,28730
G61-50300-3312-28731,6,1,50,3,00,3,31,2,28731
G61-51301-3312-28732,6,1,51,3,01,3,31,2,28732
G61-52302-3312-28733,6,1,52,3,02,3,31,2,28733
G61-53303-3312-28734,6,1,53,3,03,3,31,2,28734
G61-54304-3312-28735,6,1,54,3,04,3,31,2,28735
G61-55305-3312-28736,6,1,55,3,05,3,31,2,28736
G61-56306-3312-28737,6,1,56,3,06,3,31,2,28737
G61-57307-3312-28738,6,1,57,3,07,3,31,2,28738
G61-58308-3312-28739,6,1,58,3,08,3,31,2,28739
G61-59309-3312-28740,6,1,59,3,09,3,31,2,28740
G61-60310-3312-28741,6,1,60,3,10,3,31,2,28741
G61-61311-3312-28742,6,1,61,3,11,3,31,2,28742
G61-62312-3312-28743,6,1,62,3,12,3,31,2,28743
G61-55400-3312-28744,6,1,55,4,00,3,31,2,28744
G61-56401-3312-28745,6,1,56,4,01,3,31,2,28745
G61-57402-3312-28746,6,1,57,4,02,3,31,2,28746
G61-58403-3312-28747,6,1,58,4,03,3,31,2,28747
G61-59404-3312-28748,6,1,59,4,04,3,31,2,28748
G61-60405-3312-28749,6,1,60,4,05,3,31,2,28749
G61-61406-3312-28750,6,1,61,4,06,3,31,2,28750
G61-62407-3312-28751,6,1,62,4,07,3,31,2,28751
G61-63408-3312-28752,6,1,63,4,08,3,31,2,28752
G61-64409-3312-28753,6,1,64,4,09,3,31,2,28753
G61-65410-3312-28754,6,1,65,4,10,3,31,2,28754
G61-66411-3312-28755,6,1,66,4,11,3,31,2,28755
G61-67412-3312-28756,6,1,67,4,12,3,31,2,28756
G61-59500-3312-28757,6,1,59,5,00,3,31,2,28757
G61-60501-3312-28758,6,1,60,5,01,3,31,2,28758
G61-61502-3312-28759,6,1,61,5,02,3,31,2,28759
G61-62503-3312-28760,6,1,62,5,03,3,31,2,28760
G61-63504-3312-28761,6,1,63,5,04,3,31,2,28761
G61-64505-3312-28762,6,1,64,5,05,3,31,2,28762
G61-65506-3312-28763,6,1,65,5,06,3,31,2,28763
G61-66507-3312-28764,6,1,66,5,07,3,31,2,28764
G61-67508-3312-28765,6,1,67,5,08,3,31,2,28765
G61-68509-3312-28766,6,1,68,5,09,3,31,2,28766
G61-69510-3312-28767,6,1,69,5,10,3,31,2,28767
G61-70511-3312-28768,6,1,70,5,11,3,31,2,28768
G61-71512-3312-28769,6,1,71,5,12,3,31,2,28769
G61-64600-3312-28770,6,1,64,6,00,3,31,2,28770
G61-65601-3312-28771,6,1,65,6,01,3,31,2,28771
G61-66602-3312-28772,6,1,66,6,02,3,31,2,28772
G61-67603-3312-28773,6,1,67,6,03,3,31,2,28773
G61-68604-3312-28774,6,1,68,6,04,3,31,2,28774
G61-69605-3312-28775,6,1,69,6,05,3,31,2,28775
G61-70606-3312-28776,6,1,70,6,06,3,31,2,28776
G61-71607-3312-28777,6,1,71,6,07,3,31,2,28777
G61-72608-3312-28778,6,1,72,6,08,3,31,2,28778
G61-73609-3312-28779,6,1,73,6,09,3,31,2,28779
G61-74610-3312-28780,6,1,74,6,10,3,31,2,28780
G61-75611-3312-28781,6,1,75,6,11,3,31,2,28781
G61-76612-3312-28782,6,1,76,6,12,3,31,2,28782
G61-40100-3313-29329,6,1,40,1,00,3,31,3,29329
G61-41101-3313-29330,6,1,41,1,01,3,31,3,29330
G61-42102-3313-29331,6,1,42,1,02,3,31,3,29331
G61-43103-3313-29332,6,1,43,1,03,3,31,3,29332
G61-44104-3313-29333,6,1,44,1,04,3,31,3,29333
G61-45105-3313-29334,6,1,45,1,05,3,31,3,29334
G61-46106-3313-29335,6,1,46,1,06,3,31,3,29335
G61-47107-3313-29336,6,1,47,1,07,3,31,3,29336
G61-48108-3313-29337,6,1,48,1,08,3,31,3,29337
G61-49109-3313-29338,6,1,49,1,09,3,31,3,29338
G61-50110-3313-29339,6,1,50,1,10,3,31,3,29339
G61-51111-3313-29340,6,1,51,1,11,3,31,3,29340
